epoch 0   	 loss = 0.127 	 time = 24.5 sec
epoch 1   	 loss = 0.118 	 time = 25.1 sec
epoch 2   	 loss = 0.108 	 time = 24.8 sec
epoch 3   	 loss = 0.099 	 time = 24.6 sec
epoch 4   	 loss = 0.091 	 time = 24.5 sec
epoch 5   	 loss = 0.087 	 time = 25.5 sec
epoch 6   	 loss = 0.084 	 time = 25.4 sec
epoch 7   	 loss = 0.080 	 time = 24.8 sec
epoch 8   	 loss = 0.078 	 time = 26.6 sec
epoch 9   	 loss = 0.076 	 time = 25.7 sec
epoch 10  	 loss = 0.074 	 time = 25.5 sec
epoch 11  	 loss = 0.073 	 time = 25.8 sec
epoch 12  	 loss = 0.072 	 time = 25.2 sec
epoch 13  	 loss = 0.070 	 time = 24.8 sec
epoch 14  	 loss = 0.069 	 time = 24.9 sec
epoch 15  	 loss = 0.069 	 time = 24.5 sec
epoch 16  	 loss = 0.067 	 time = 25.3 sec
epoch 17  	 loss = 0.068 	 time = 24.9 sec
epoch 18  	 loss = 0.065 	 time = 24.8 sec
epoch 19  	 loss = 0.066 	 time = 25.1 sec
epoch 20  	 loss = 0.066 	 time = 25.8 sec
epoch 21  	 loss = 0.065 	 time = 25.6 sec
epoch 22  	 loss = 0.064 	 time = 26.4 sec
epoch 23  	 loss = 0.064 	 time = 26.8 sec
epoch 24  	 loss = 0.062 	 time = 26.3 sec
epoch 25  	 loss = 0.063 	 time = 25.9 sec
epoch 26  	 loss = 0.062 	 time = 25.5 sec
epoch 27  	 loss = 0.060 	 time = 24.9 sec
epoch 28  	 loss = 0.060 	 time = 24.8 sec
epoch 29  	 loss = 0.060 	 time = 24.9 sec
epoch 30  	 loss = 0.059 	 time = 25.2 sec
epoch 31  	 loss = 0.059 	 time = 24.6 sec
epoch 32  	 loss = 0.058 	 time = 24.7 sec
epoch 33  	 loss = 0.058 	 time = 24.4 sec
epoch 34  	 loss = 0.057 	 time = 25.7 sec
epoch 35  	 loss = 0.056 	 time = 26.1 sec
epoch 36  	 loss = 0.058 	 time = 27.3 sec
epoch 37  	 loss = 0.057 	 time = 26.7 sec
epoch 38  	 loss = 0.055 	 time = 27.7 sec
epoch 39  	 loss = 0.056 	 time = 25.8 sec
epoch 40  	 loss = 0.057 	 time = 24.7 sec
epoch 41  	 loss = 0.054 	 time = 23.8 sec
epoch 42  	 loss = 0.055 	 time = 24.3 sec
epoch 43  	 loss = 0.056 	 time = 24.4 sec
epoch 44  	 loss = 0.054 	 time = 24.2 sec
epoch 45  	 loss = 0.053 	 time = 24.1 sec
epoch 46  	 loss = 0.053 	 time = 24.3 sec
epoch 47  	 loss = 0.053 	 time = 24.0 sec
epoch 48  	 loss = 0.051 	 time = 25.0 sec
epoch 49  	 loss = 0.052 	 time = 25.2 sec
