Actor Loss,Critic Loss
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
-0.07030937,1.374088
-0.29775795,1.2597778
-1.2122235,0.8773666
-1.9084274,0.29848802
-0.81055176,0.9076375
-0.49420244,0.34380594
-0.38800198,0.64753556
-0.36097312,0.7717873
-0.38471317,0.9092642
-0.4678446,0.79167527
-0.63029313,0.77488995
-0.95395535,0.5235742
-1.513763,0.23348574
-1.6873379,0.35896194
-1.3953029,0.4600792
-1.1274786,0.21261153
-0.97266954,0.16422826
-0.91835684,0.17091307
-0.934525,0.2017887
-1.0642427,0.29835838
-1.270267,0.20197737
-1.5129216,0.13259083
-1.5201862,0.2547204
-1.3708495,0.26086876
-1.2005765,0.1826724
-1.1119915,0.17737702
-1.1413436,0.24636206
-1.2568116,0.15966007
-1.3805102,0.13489398
-1.4922086,0.18835618
-1.4996216,0.149061
-1.4557137,0.12768261
-1.3747402,0.21052712
-1.3151484,0.085683
-1.309807,0.16498545
-1.4377472,0.18189308
-1.5800908,0.09999363
-1.6918006,0.1102511
-1.5528848,0.25534
-1.4363242,0.16253868
-1.3945174,0.22249429
-1.3919215,0.10330528
-1.4526415,0.14269315
-1.5665157,0.15920402
-1.6665215,0.10915071
-1.6381294,0.16576916
-1.466093,0.17286076
-1.3633583,0.12743291
-1.4318786,0.1736379
-1.6218224,0.12831469
-1.7709324,0.19669126
-1.6898017,0.12529022
-1.4812794,0.13491663
-1.4003915,0.1439582
-1.468069,0.32620782
-1.62398,0.17946145
-1.7722037,0.1325323
-1.7014129,0.13733011
-1.557687,0.07390715
-1.4786177,0.25784874
-1.5160011,0.2623714
-1.5365839,0.27809793
-1.5046945,0.19453725
-1.4801466,0.1998828
-1.611871,0.34546652
-1.9138792,0.3679293
-1.8858075,0.20149046
-1.6170226,0.24088971
-1.3893478,0.18119526
-1.343751,0.15033156
-1.5046606,0.29474127
-1.9239532,0.30472142
-1.9305918,0.30615342
-1.7488434,0.2160455
-1.6021388,0.30091774
-1.5856214,0.28105956
-1.6933548,0.29584527
-1.7609808,0.17386822
-1.7532128,0.17610219
-1.6191006,0.35843804
-1.5799768,0.20157622
-1.8551748,0.40019798
-1.9160895,0.22315234
-1.7055612,0.19666551
-1.4401376,0.17556614
-1.3583808,0.24026583
-1.5627713,0.41735983
-1.8093648,0.13707185
-1.9523578,0.2286846
-1.7159462,0.22862089
-1.5700097,0.15010878
-1.6428883,0.22281651
-1.6688232,0.1395205
-1.8795867,0.18309256
-1.8333368,0.20014022
-1.6670322,0.15774253
-1.6573257,0.19951075
-1.810922,0.28077623
-1.7539666,0.266266
-1.933907,0.24216716
-1.8900819,0.23896597
-1.8411381,0.1710491
-1.7355468,0.17232573
-1.7887652,0.2098299
-1.8201101,0.12531126
-1.6701858,0.20657967
-1.7556752,0.17486191
-1.8846639,0.08596876
-1.8453878,0.13421738
-1.7458806,0.18994138
-1.7780757,0.21055919
-1.8673673,0.17856096
-1.7186481,0.25064218
-1.8758426,0.17493314
-1.936614,0.15346305
-1.923088,0.21032952
-1.8365409,0.17849523
-1.6452711,0.110667765
-1.9660194,0.23788355
-2.0559566,0.25414947
-1.6666982,0.2829466
-1.6081518,0.23914835
-2.0037715,0.2740339
-2.3287454,0.15218458
-1.8175766,0.39471692
-1.4193319,0.09103483
-1.482368,0.34768897
-2.022872,0.48776478
-2.2915325,0.18574503
-2.133483,0.27376992
-1.6779432,0.28469944
-1.4983361,0.15029368
-1.5777466,0.21101806
-1.9182508,0.22880776
-2.3379154,0.11362072
-2.211346,0.17520706
-1.8241812,0.28124043
-1.5745144,0.1077227
-1.6473002,0.19425151
-1.9664495,0.20145261
-2.3079462,0.1022694
-2.0179248,0.26167634
-1.6041493,0.14155203
-1.6191652,0.4270115
-1.8632977,0.25246024
-2.2405965,0.15801792
-2.124045,0.28115982
-1.8426242,0.09172956
-1.6532559,0.15152311
-1.7706126,0.3676743
-2.0769072,0.24966389
-2.4842691,0.30402017
-1.9406037,0.5426494
-1.5460713,0.2578766
-1.5014944,0.33918828
-1.673495,0.45368522
-2.0733123,0.19415021
-2.5152597,0.19885683
-2.2871308,0.32287645
-1.871532,0.14619026
-1.6865878,0.26581603
-1.7394296,0.26945245
-2.0623803,0.38094807
-2.4171023,0.25712368
-2.2784224,0.2992857
-1.932317,0.19464704
-1.7259771,0.08154445
-1.7121536,0.29394075
-1.8756926,0.28348404
-2.249343,0.2184358
-2.3132882,0.15687686
-2.1215725,0.2708003
-1.9730648,0.19255817
-1.9732091,0.1402941
-2.0161922,0.27357203
-2.1186686,0.11820018
-2.1476476,0.17160824
-2.227004,0.24412656
-2.084557,0.16027355
-1.9114125,0.20633139
-2.0109687,0.3894695
-2.0693364,0.15352331
-2.1326995,0.13466296
-2.2955363,0.17133245
-2.2256236,0.16051711
-2.0991664,0.17574579
-2.0470834,0.12805888
-1.9742064,0.2572879
-2.1316538,0.16864474
-2.1380339,0.20574436
-2.2719927,0.27905032
-2.2432528,0.31037316
-1.9465188,0.2775692
-1.5247517,0.34157407
-1.7587315,0.53937495
-2.1486776,0.515252
-2.4578686,0.18196437
-2.1990879,0.71371984
-1.8318305,0.38472468
-1.7447093,0.38946095
-1.8612218,0.39089718
-2.0208957,0.35527468
-2.3098996,0.32737613
-2.2934272,0.24644253
-2.1158507,0.35216922
-1.8784287,0.14940625
-2.0587626,0.35333353
-2.5276504,0.22111148
-2.4164724,0.20281574
-2.109596,0.30584294
-1.8823485,0.25165546
-1.8046358,0.2926978
-1.9732034,0.3327496
-2.3365803,0.122914456
-2.4755664,0.1696674
-2.3594053,0.5303865
-2.035252,0.23516904
-1.8435924,0.2637213
-1.7605271,0.44652712
-2.1290734,0.48146844
-2.6227717,0.14924365
-2.4624176,0.39078835
-2.3330371,0.420704
-1.8925797,0.21032867
-1.8400146,0.3825911
-2.250186,0.11747284
-2.194935,0.14689258
-2.326694,0.30670768
-2.2597375,0.2490122
-2.0963447,0.18241835
-1.8737934,0.16577324
-2.1137586,0.25460806
-2.260365,0.38201892
-2.5852256,0.18882911
-2.5847554,0.4015896
-2.1718636,0.5633255
-1.8070613,0.18890113
-1.7933216,0.5117575
-2.0478535,0.5024024
-2.2272782,0.36185044
-2.8354952,0.13740633
-2.609227,0.48440737
-2.120419,0.24777296
-1.9851582,0.15465009
-2.1065347,0.1941831
-2.1746268,0.30053228
-2.5018044,0.21633327
-2.5180583,0.13740377
-2.3978877,0.19939934
-2.3241649,0.18510324
-2.0388846,0.3098181
-2.1807039,0.27182972
-2.2369912,0.36654043
-2.6317153,0.22023651
-2.4981256,0.48632118
-2.0866091,0.23505262
-1.9230008,0.16520703
-2.0412395,0.39513987
-2.5392127,0.43634164
-2.576445,0.18011056
-2.684063,0.34417292
-2.478321,0.38669786
-2.075078,0.19783321
-1.8974637,0.41600388
-1.9362922,0.19735652
-2.125525,0.6763268
-2.5742226,0.31181878
-2.722414,0.19463095
-2.5820875,0.13981429
-2.5078013,0.5479007
-2.000299,0.18545929
-2.1237211,0.17511407
-2.1256514,0.6954411
-2.459424,0.208638
-2.7180068,0.23959512
-2.6950164,0.27972358
-2.3653128,0.11841793
-2.5118687,0.2989627
-2.2396898,0.16891794
-2.328014,0.142097
-2.2939277,0.26254767
-2.2301505,0.22421789
-2.4746172,0.15659289
-2.4912586,0.20402211
-2.4025674,0.15820234
-2.3699937,0.19330835
-2.397317,0.35214093
-2.7983403,0.17261723
-2.6489644,0.5655478
-2.222562,0.15343279
-2.0565097,0.27643955
-2.057258,0.36789683
-2.339209,0.40485606
-2.7134666,0.16603594
-2.8755813,0.18165109
-2.644087,0.43785024
-2.4214358,0.27098587
-2.1178436,0.1709922
-2.0902095,0.48589092
-2.3214402,0.27043143
-2.4142718,0.21398348
-2.7389786,0.14423877
-2.8778088,0.20088784
-2.6331427,0.22408389
-2.6543832,0.28704467
-2.3161669,0.23197193
-2.2205408,0.2605369
-2.2309723,0.2882746
-2.3827834,0.11863168
-2.546773,0.14075659
-2.6721544,0.22070852
-2.8623173,0.35351408
-2.6249928,0.44211596
-2.298892,0.19771577
-2.1695738,0.43794668
-2.3769321,0.11687295
-2.493112,0.13967264
-2.835147,0.28749192
-2.924065,0.1901674
-2.6847346,0.21351239
-2.6393018,0.3661425
-2.5096116,0.123395026
-2.2275224,0.124442294
-2.1670237,0.1373021
-2.5961542,0.47046822
-2.7446618,0.13819334
-2.6169124,0.110949874
-2.5741348,0.15289184
-2.5387142,0.15493724
-2.4785502,0.13786352
-2.531355,0.22512528
-2.5704868,0.081487805
-2.6662624,0.1485421
-2.7567754,0.12691996
-2.6498125,0.25176388
-2.3417296,0.14891401
-2.2350197,0.18793428
-2.3804364,0.30234867
-2.6830225,0.30329582
-2.9967012,0.19588631
-2.9170618,0.36303383
-2.5625682,0.3285541
-2.2487972,0.099267036
-2.1546607,0.21957709
-2.3056743,0.34109747
-2.605661,0.2564475
-2.982585,0.1406433
-2.8680577,0.732412
-2.434009,0.1555544
-2.2773817,0.21618396
-2.3999467,0.12236899
-2.5904922,0.09743507
-2.8123112,0.104912676
-2.8348842,0.12841845
-2.7856247,0.27813834
-2.6958237,0.15029027
-2.534525,0.14135772
-2.6009297,0.24108197
-2.6315389,0.19474205
-2.8094714,0.15678144
-2.8639455,0.24601427
-2.729916,0.0876686
-2.8026643,0.09584762
-2.631391,0.10788603
-2.5800648,0.18208125
-2.6605356,0.32080665
-2.6330605,0.10086733
-2.7281566,0.06784487
-2.6861887,0.13874936
