epoch 0   loss = 0.173
epoch 1   loss = 0.168
epoch 2   loss = 0.166
epoch 3   loss = 0.163
epoch 4   loss = 0.162
epoch 5   loss = 0.160
epoch 6   loss = 0.160
epoch 7   loss = 0.159
epoch 8   loss = 0.158
epoch 9   loss = 0.157
epoch 10  loss = 0.156
epoch 11  loss = 0.156
epoch 12  loss = 0.156
epoch 13  loss = 0.155
epoch 14  loss = 0.155
epoch 15  loss = 0.154
epoch 16  loss = 0.154
epoch 17  loss = 0.154
epoch 18  loss = 0.154
epoch 19  loss = 0.154
epoch 20  loss = 0.153
epoch 21  loss = 0.153
epoch 22  loss = 0.153
epoch 23  loss = 0.153
epoch 24  loss = 0.153
