epoch 0   	 loss = 0.175 	 time = 24.5 sec
epoch 1   	 loss = 0.168 	 time = 24.5 sec
epoch 2   	 loss = 0.166 	 time = 24.6 sec
epoch 3   	 loss = 0.163 	 time = 26.1 sec
epoch 4   	 loss = 0.161 	 time = 26.1 sec
epoch 5   	 loss = 0.160 	 time = 24.7 sec
epoch 6   	 loss = 0.159 	 time = 25.1 sec
epoch 7   	 loss = 0.158 	 time = 24.2 sec
epoch 8   	 loss = 0.158 	 time = 24.2 sec
epoch 9   	 loss = 0.157 	 time = 24.4 sec
epoch 10  	 loss = 0.156 	 time = 24.9 sec
epoch 11  	 loss = 0.155 	 time = 24.6 sec
epoch 12  	 loss = 0.155 	 time = 24.5 sec
epoch 13  	 loss = 0.155 	 time = 25.7 sec
epoch 14  	 loss = 0.154 	 time = 26.4 sec
epoch 15  	 loss = 0.154 	 time = 25.4 sec
epoch 16  	 loss = 0.154 	 time = 27.3 sec
epoch 17  	 loss = 0.153 	 time = 25.0 sec
epoch 18  	 loss = 0.153 	 time = 24.5 sec
epoch 19  	 loss = 0.153 	 time = 25.3 sec
epoch 20  	 loss = 0.153 	 time = 25.0 sec
epoch 21  	 loss = 0.153 	 time = 24.6 sec
epoch 22  	 loss = 0.153 	 time = 24.5 sec
epoch 23  	 loss = 0.153 	 time = 24.5 sec
epoch 24  	 loss = 0.152 	 time = 24.5 sec
epoch 25  	 loss = 0.153 	 time = 24.6 sec
epoch 26  	 loss = 0.152 	 time = 24.8 sec
epoch 27  	 loss = 0.152 	 time = 24.3 sec
epoch 28  	 loss = 0.152 	 time = 24.8 sec
epoch 29  	 loss = 0.152 	 time = 24.6 sec
