epoch 0   	 loss = 0.156 	 time = 13.1 sec
epoch 1   	 loss = 0.144 	 time = 12.9 sec
epoch 2   	 loss = 0.136 	 time = 13.6 sec
epoch 3   	 loss = 0.128 	 time = 12.9 sec
epoch 4   	 loss = 0.121 	 time = 12.8 sec
epoch 5   	 loss = 0.112 	 time = 12.8 sec
epoch 6   	 loss = 0.102 	 time = 12.9 sec
epoch 7   	 loss = 0.096 	 time = 12.8 sec
epoch 8   	 loss = 0.089 	 time = 12.8 sec
epoch 9   	 loss = 0.085 	 time = 13.0 sec
epoch 10  	 loss = 0.082 	 time = 12.7 sec
epoch 11  	 loss = 0.080 	 time = 13.1 sec
epoch 12  	 loss = 0.078 	 time = 13.2 sec
epoch 13  	 loss = 0.076 	 time = 13.0 sec
epoch 14  	 loss = 0.075 	 time = 12.9 sec
epoch 15  	 loss = 0.073 	 time = 12.9 sec
epoch 16  	 loss = 0.072 	 time = 12.9 sec
epoch 17  	 loss = 0.071 	 time = 13.2 sec
epoch 18  	 loss = 0.069 	 time = 12.7 sec
epoch 19  	 loss = 0.069 	 time = 13.1 sec
epoch 20  	 loss = 0.068 	 time = 12.7 sec
epoch 21  	 loss = 0.067 	 time = 13.1 sec
epoch 22  	 loss = 0.067 	 time = 12.9 sec
epoch 23  	 loss = 0.065 	 time = 12.9 sec
epoch 24  	 loss = 0.065 	 time = 13.0 sec
epoch 25  	 loss = 0.064 	 time = 12.9 sec
epoch 26  	 loss = 0.063 	 time = 13.0 sec
epoch 27  	 loss = 0.063 	 time = 12.8 sec
epoch 28  	 loss = 0.063 	 time = 12.8 sec
epoch 29  	 loss = 0.062 	 time = 12.8 sec
epoch 30  	 loss = 0.061 	 time = 12.8 sec
epoch 31  	 loss = 0.061 	 time = 13.2 sec
epoch 32  	 loss = 0.061 	 time = 12.9 sec
epoch 33  	 loss = 0.060 	 time = 12.8 sec
epoch 34  	 loss = 0.060 	 time = 12.8 sec
epoch 35  	 loss = 0.060 	 time = 12.7 sec
epoch 36  	 loss = 0.060 	 time = 12.8 sec
epoch 37  	 loss = 0.059 	 time = 12.7 sec
epoch 38  	 loss = 0.059 	 time = 12.8 sec
epoch 39  	 loss = 0.059 	 time = 12.9 sec
epoch 40  	 loss = 0.058 	 time = 13.1 sec
epoch 41  	 loss = 0.058 	 time = 12.9 sec
epoch 42  	 loss = 0.058 	 time = 12.7 sec
epoch 43  	 loss = 0.057 	 time = 12.7 sec
epoch 44  	 loss = 0.057 	 time = 12.8 sec
epoch 45  	 loss = 0.057 	 time = 12.8 sec
epoch 46  	 loss = 0.057 	 time = 12.8 sec
epoch 47  	 loss = 0.056 	 time = 12.7 sec
epoch 48  	 loss = 0.056 	 time = 12.7 sec
epoch 49  	 loss = 0.056 	 time = 12.7 sec
