epoch 0   	 loss = 0.153 	 time = 25.4 sec
epoch 1   	 loss = 0.138 	 time = 26.2 sec
epoch 2   	 loss = 0.127 	 time = 25.9 sec
epoch 3   	 loss = 0.118 	 time = 24.9 sec
epoch 4   	 loss = 0.110 	 time = 25.6 sec
epoch 5   	 loss = 0.106 	 time = 25.5 sec
epoch 6   	 loss = 0.103 	 time = 24.2 sec
epoch 7   	 loss = 0.100 	 time = 25.7 sec
epoch 8   	 loss = 0.097 	 time = 24.6 sec
epoch 9   	 loss = 0.094 	 time = 26.0 sec
epoch 10  	 loss = 0.095 	 time = 25.6 sec
epoch 11  	 loss = 0.093 	 time = 25.0 sec
epoch 12  	 loss = 0.091 	 time = 25.7 sec
epoch 13  	 loss = 0.090 	 time = 25.0 sec
epoch 14  	 loss = 0.088 	 time = 25.4 sec
epoch 15  	 loss = 0.087 	 time = 25.1 sec
epoch 16  	 loss = 0.086 	 time = 25.8 sec
epoch 17  	 loss = 0.086 	 time = 25.6 sec
epoch 18  	 loss = 0.086 	 time = 25.6 sec
epoch 19  	 loss = 0.085 	 time = 25.4 sec
epoch 20  	 loss = 0.084 	 time = 26.0 sec
epoch 21  	 loss = 0.082 	 time = 25.5 sec
epoch 22  	 loss = 0.082 	 time = 25.4 sec
epoch 23  	 loss = 0.081 	 time = 25.1 sec
epoch 24  	 loss = 0.082 	 time = 25.0 sec
epoch 25  	 loss = 0.081 	 time = 25.3 sec
epoch 26  	 loss = 0.080 	 time = 25.7 sec
epoch 27  	 loss = 0.080 	 time = 24.9 sec
epoch 28  	 loss = 0.078 	 time = 25.9 sec
epoch 29  	 loss = 0.078 	 time = 25.4 sec
epoch 30  	 loss = 0.080 	 time = 25.8 sec
epoch 31  	 loss = 0.076 	 time = 25.6 sec
epoch 32  	 loss = 0.077 	 time = 25.8 sec
epoch 33  	 loss = 0.076 	 time = 25.7 sec
epoch 34  	 loss = 0.075 	 time = 25.5 sec
epoch 35  	 loss = 0.076 	 time = 25.3 sec
epoch 36  	 loss = 0.075 	 time = 25.2 sec
epoch 37  	 loss = 0.074 	 time = 25.2 sec
epoch 38  	 loss = 0.075 	 time = 25.5 sec
epoch 39  	 loss = 0.073 	 time = 25.7 sec
epoch 40  	 loss = 0.074 	 time = 25.6 sec
epoch 41  	 loss = 0.074 	 time = 25.4 sec
epoch 42  	 loss = 0.073 	 time = 25.4 sec
epoch 43  	 loss = 0.072 	 time = 25.4 sec
epoch 44  	 loss = 0.072 	 time = 25.0 sec
epoch 45  	 loss = 0.072 	 time = 25.0 sec
epoch 46  	 loss = 0.071 	 time = 25.7 sec
epoch 47  	 loss = 0.072 	 time = 25.2 sec
epoch 48  	 loss = 0.070 	 time = 25.3 sec
epoch 49  	 loss = 0.070 	 time = 25.1 sec
