epoch 0   	 loss = 0.150 	 time = 25.3 sec
epoch 1   	 loss = 0.146 	 time = 24.7 sec
epoch 2   	 loss = 0.139 	 time = 25.0 sec
epoch 3   	 loss = 0.131 	 time = 25.7 sec
epoch 4   	 loss = 0.123 	 time = 25.9 sec
epoch 5   	 loss = 0.119 	 time = 25.3 sec
epoch 6   	 loss = 0.115 	 time = 25.4 sec
epoch 7   	 loss = 0.111 	 time = 25.0 sec
epoch 8   	 loss = 0.109 	 time = 25.1 sec
epoch 9   	 loss = 0.107 	 time = 25.6 sec
epoch 10  	 loss = 0.105 	 time = 25.6 sec
epoch 11  	 loss = 0.103 	 time = 25.4 sec
epoch 12  	 loss = 0.102 	 time = 25.2 sec
epoch 13  	 loss = 0.102 	 time = 25.1 sec
epoch 14  	 loss = 0.099 	 time = 25.8 sec
epoch 15  	 loss = 0.099 	 time = 25.2 sec
epoch 16  	 loss = 0.099 	 time = 25.1 sec
epoch 17  	 loss = 0.098 	 time = 25.2 sec
epoch 18  	 loss = 0.096 	 time = 25.0 sec
epoch 19  	 loss = 0.096 	 time = 25.7 sec
epoch 20  	 loss = 0.095 	 time = 25.1 sec
epoch 21  	 loss = 0.096 	 time = 25.2 sec
epoch 22  	 loss = 0.095 	 time = 25.2 sec
epoch 23  	 loss = 0.094 	 time = 25.5 sec
epoch 24  	 loss = 0.094 	 time = 25.9 sec
epoch 25  	 loss = 0.093 	 time = 25.3 sec
epoch 26  	 loss = 0.092 	 time = 25.4 sec
epoch 27  	 loss = 0.093 	 time = 25.5 sec
epoch 28  	 loss = 0.092 	 time = 25.4 sec
epoch 29  	 loss = 0.091 	 time = 25.2 sec
