epoch 0   	 loss = 0.181 	 time = 23.8 sec
epoch 1   	 loss = 0.157 	 time = 23.7 sec
epoch 2   	 loss = 0.149 	 time = 23.4 sec
epoch 3   	 loss = 0.149 	 time = 23.9 sec
epoch 4   	 loss = 0.149 	 time = 23.6 sec
epoch 5   	 loss = 0.148 	 time = 23.6 sec
epoch 6   	 loss = 0.148 	 time = 23.7 sec
epoch 7   	 loss = 0.147 	 time = 23.2 sec
epoch 8   	 loss = 0.146 	 time = 23.5 sec
epoch 9   	 loss = 0.145 	 time = 23.4 sec
epoch 10  	 loss = 0.139 	 time = 24.1 sec
epoch 11  	 loss = 0.134 	 time = 23.4 sec
epoch 12  	 loss = 0.130 	 time = 25.3 sec
epoch 13  	 loss = 0.126 	 time = 25.2 sec
epoch 14  	 loss = 0.122 	 time = 25.5 sec
epoch 15  	 loss = 0.120 	 time = 24.8 sec
epoch 16  	 loss = 0.116 	 time = 24.8 sec
epoch 17  	 loss = 0.113 	 time = 25.5 sec
epoch 18  	 loss = 0.110 	 time = 26.1 sec
epoch 19  	 loss = 0.108 	 time = 24.7 sec
epoch 20  	 loss = 0.106 	 time = 25.5 sec
epoch 21  	 loss = 0.105 	 time = 25.2 sec
epoch 22  	 loss = 0.103 	 time = 25.8 sec
epoch 23  	 loss = 0.102 	 time = 26.1 sec
epoch 24  	 loss = 0.100 	 time = 26.7 sec
epoch 25  	 loss = 0.100 	 time = 27.8 sec
epoch 26  	 loss = 0.099 	 time = 26.9 sec
epoch 27  	 loss = 0.099 	 time = 26.8 sec
epoch 28  	 loss = 0.098 	 time = 26.9 sec
epoch 29  	 loss = 0.098 	 time = 25.5 sec
