epoch 0   	 loss = 0.150 	 time = 23.7 sec
epoch 1   	 loss = 0.124 	 time = 24.1 sec
epoch 2   	 loss = 0.103 	 time = 24.3 sec
epoch 3   	 loss = 0.096 	 time = 23.5 sec
epoch 4   	 loss = 0.091 	 time = 23.7 sec
epoch 5   	 loss = 0.089 	 time = 23.4 sec
epoch 6   	 loss = 0.088 	 time = 23.7 sec
epoch 7   	 loss = 0.083 	 time = 23.6 sec
epoch 8   	 loss = 0.081 	 time = 23.4 sec
epoch 9   	 loss = 0.079 	 time = 23.6 sec
epoch 10  	 loss = 0.077 	 time = 23.7 sec
epoch 11  	 loss = 0.075 	 time = 23.5 sec
epoch 12  	 loss = 0.072 	 time = 23.7 sec
epoch 13  	 loss = 0.072 	 time = 23.9 sec
epoch 14  	 loss = 0.068 	 time = 23.7 sec
epoch 15  	 loss = 0.065 	 time = 24.1 sec
epoch 16  	 loss = 0.064 	 time = 23.6 sec
epoch 17  	 loss = 0.064 	 time = 23.8 sec
epoch 18  	 loss = 0.060 	 time = 23.6 sec
epoch 19  	 loss = 0.059 	 time = 23.4 sec
epoch 20  	 loss = 0.056 	 time = 23.2 sec
epoch 21  	 loss = 0.053 	 time = 23.4 sec
epoch 22  	 loss = 0.051 	 time = 23.4 sec
epoch 23  	 loss = 0.048 	 time = 23.9 sec
epoch 24  	 loss = 0.046 	 time = 23.6 sec
epoch 25  	 loss = 0.045 	 time = 23.6 sec
epoch 26  	 loss = 0.044 	 time = 23.9 sec
epoch 27  	 loss = 0.043 	 time = 23.5 sec
epoch 28  	 loss = 0.042 	 time = 24.3 sec
epoch 29  	 loss = 0.041 	 time = 23.9 sec
