epoch 0   	 loss = 0.153 	 time = 24.1 sec
epoch 1   	 loss = 0.148 	 time = 24.0 sec
epoch 2   	 loss = 0.148 	 time = 23.4 sec
epoch 3   	 loss = 0.147 	 time = 23.6 sec
epoch 4   	 loss = 0.147 	 time = 23.4 sec
epoch 5   	 loss = 0.146 	 time = 23.7 sec
epoch 6   	 loss = 0.145 	 time = 24.8 sec
epoch 7   	 loss = 0.143 	 time = 24.7 sec
epoch 8   	 loss = 0.138 	 time = 24.6 sec
epoch 9   	 loss = 0.134 	 time = 25.0 sec
epoch 10  	 loss = 0.130 	 time = 24.9 sec
epoch 11  	 loss = 0.128 	 time = 24.3 sec
epoch 12  	 loss = 0.125 	 time = 25.4 sec
epoch 13  	 loss = 0.122 	 time = 24.7 sec
epoch 14  	 loss = 0.120 	 time = 24.6 sec
epoch 15  	 loss = 0.117 	 time = 23.6 sec
epoch 16  	 loss = 0.116 	 time = 23.9 sec
epoch 17  	 loss = 0.114 	 time = 23.7 sec
epoch 18  	 loss = 0.112 	 time = 23.5 sec
epoch 19  	 loss = 0.109 	 time = 24.2 sec
epoch 20  	 loss = 0.108 	 time = 23.9 sec
epoch 21  	 loss = 0.106 	 time = 24.1 sec
epoch 22  	 loss = 0.105 	 time = 24.7 sec
epoch 23  	 loss = 0.102 	 time = 24.9 sec
epoch 24  	 loss = 0.101 	 time = 25.5 sec
epoch 25  	 loss = 0.101 	 time = 24.6 sec
epoch 26  	 loss = 0.099 	 time = 25.1 sec
epoch 27  	 loss = 0.097 	 time = 25.4 sec
epoch 28  	 loss = 0.097 	 time = 25.5 sec
epoch 29  	 loss = 0.096 	 time = 25.5 sec
epoch 30  	 loss = 0.096 	 time = 24.9 sec
epoch 31  	 loss = 0.094 	 time = 25.5 sec
epoch 32  	 loss = 0.093 	 time = 25.3 sec
epoch 33  	 loss = 0.092 	 time = 25.3 sec
epoch 34  	 loss = 0.091 	 time = 25.1 sec
epoch 35  	 loss = 0.091 	 time = 25.0 sec
epoch 36  	 loss = 0.090 	 time = 25.5 sec
epoch 37  	 loss = 0.088 	 time = 25.5 sec
epoch 38  	 loss = 0.087 	 time = 25.6 sec
epoch 39  	 loss = 0.087 	 time = 25.5 sec
epoch 40  	 loss = 0.086 	 time = 25.2 sec
epoch 41  	 loss = 0.086 	 time = 25.7 sec
epoch 42  	 loss = 0.087 	 time = 25.3 sec
epoch 43  	 loss = 0.084 	 time = 25.5 sec
epoch 44  	 loss = 0.083 	 time = 24.8 sec
epoch 45  	 loss = 0.082 	 time = 25.4 sec
epoch 46  	 loss = 0.082 	 time = 25.8 sec
epoch 47  	 loss = 0.082 	 time = 25.3 sec
epoch 48  	 loss = 0.081 	 time = 25.7 sec
epoch 49  	 loss = 0.081 	 time = 25.7 sec
