Directory,Run,Output
powerups,1,"Finished at t=597
597 0.9993974644361825
Finished at t=547
547 0.9983587178270368
Finished at t=749
749 0.9996408623698165
Finished at t=807
807 0.9994519831942332
Finished at t=760
760 0.999053931232053
Finished at t=719
719 0.9993442911527356"
powerups,2,"Finished at t=534
534 0.9981154117221821
Finished at t=555
555 0.9984961387900393
Finished at t=634
634 0.9995405089352751
Finished at t=980
980 0.9989397547391125
Finished at t=778
778 0.9994289781974371
Finished at t=788
788 0.9980357215700556"
powerups,3,"Finished at t=556
556 1.0002711538912603
Finished at t=548
548 0.9981016344908997
Finished at t=605
605 0.9991852431268623
Finished at t=949
949 0.9986682675086973
Finished at t=757
757 0.9988502294422009
Finished at t=721
721 0.9986893173020773"
powerups,4,"Finished at t=521
521 0.9984968829760462
Finished at t=548
548 0.9987080625870978
1000 0.4525548006665812
Finished at t=913
913 0.998248707514785
Finished at t=760
760 0.9992299125791891
Finished at t=784
784 0.9980437146581476"
powerups,5,"Finished at t=565
565 0.9988257730570805
Finished at t=561
561 0.9993054032798867
Finished at t=603
603 0.9990284866670678
1000 0.9763624708105109
Finished at t=761
761 0.9980805283690238
Finished at t=727
727 0.9988874907620114"
powerups-2,1,"Finished at t=558
558 1.0
Finished at t=483
483 1.000117650657876
1000 0.137503328981894
Finished at t=936
936 1.000095989029825
Finished at t=813
813 0.9997164208368869
Finished at t=636
636 0.9989586935582325"
powerups-2,2,"Finished at t=454
454 1.0001910792947284
Finished at t=479
479 0.9994603747242823
1000 0.1343864862955822
Finished at t=526
526 1.0000298236255383
Finished at t=871
871 0.9991170024832494
Finished at t=641
641 0.9994561025114467"
powerups-2,3,"Finished at t=538
538 0.9981673055594195
Finished at t=484
484 0.9995785109686
1000 0.11518198870369838
Finished at t=916
916 0.9994729519701272
Finished at t=808
808 0.9991380584292844
Finished at t=649
649 0.9981868552471959"
powerups-2,4,"Finished at t=552
552 0.99838862762022
Finished at t=524
524 1.0003484429566694
1000 0.13866596119283503
Finished at t=644
644 0.9980382203596975
Finished at t=826
826 0.9986214150561604
Finished at t=607
607 0.9986193088753412"
powerups-2,5,"Finished at t=564
564 1.0002727003963434
Finished at t=475
475 0.9997947356741421
1000 0.13095606528728657
Finished at t=666
666 0.9995755206451742
Finished at t=846
846 0.9988977502011422
Finished at t=605
605 0.998675903614015"
powerups-3,1,"Finished at t=429
429 0.9980544966052924
Finished at t=461
461 0.9990146757402887
Finished at t=540
540 0.9982231477387776
Finished at t=621
621 0.9985209326493372
Finished at t=691
691 0.9992795582501157
Finished at t=601
601 0.9982768004568738"
powerups-3,2,"Finished at t=403
403 1.0000499177474087
Finished at t=573
573 0.9996576615585979
Finished at t=547
547 0.9982434486421154
Finished at t=562
562 0.999506957052442
Finished at t=714
714 0.9983871918032486
Finished at t=599
599 0.9989699941310521"
powerups-3,3,"Finished at t=407
407 0.9990974424500352
Finished at t=460
460 0.9994845153073842
Finished at t=546
546 0.9983629518978467
1000 1.099719073745832
Finished at t=751
751 0.999121059133403
Finished at t=600
600 0.9984237079035287"
powerups-3,4,"Finished at t=425
425 0.9993355183159041
Finished at t=480
480 0.9994869432395928
Finished at t=547
547 0.9984009376087315
Finished at t=612
612 0.9986591666910073
Finished at t=776
776 0.9993469759121909
Finished at t=598
598 0.9995464152194278"
powerups-3,5,"Finished at t=405
405 0.9995613939750052
Finished at t=450
450 0.9993215663714463"
powerups-4-pathing,1,"Finished at t=418
418 1.0001702014761047
Finished at t=458
458 0.9983395024778435
Finished at t=550
550 0.9997980374049377
Finished at t=584
584 0.9981650168872437
Finished at t=722
722 0.9992603374553406
Finished at t=606
606 0.9981839152607713"
powerups-4-pathing,2,"Finished at t=404
404 0.9997999853425685
Finished at t=440
440 1.0000049946034004
Finished at t=552
552 0.9992494944394884
Finished at t=650
650 0.9980308413183272
Finished at t=751
751 0.9986267273361235
Finished at t=598
598 0.9984148879442549"
powerups-4-pathing,3,"Finished at t=408
408 1.0
Finished at t=450
450 1.0003054338718325
Finished at t=622
622 0.9984958495640276
Finished at t=532
532 0.9983681250009608
Finished at t=712
712 0.9983047065834603
Finished at t=606
606 0.9992010586891115"
powerups-4-pathing,4,"Finished at t=401
401 0.9980245115900676
Finished at t=463
463 1.000073462291681
Finished at t=594
594 0.9981245732493741
Finished at t=751
751 0.9982586692206349
Finished at t=704
704 0.9988395082953666
Finished at t=602
602 0.9984597227372303"
powerups-4-pathing,5,"Finished at t=442
442 0.9997302207799249
Finished at t=470
470 0.998745244634634
Finished at t=631
631 0.998721566308872
Finished at t=729
729 0.9987295135520706
Finished at t=725
725 0.9992565705659123
Finished at t=602
602 0.9982507999519312"
powerups-4-smarter,1,"Finished at t=425
425 0.9984893222845282
Finished at t=461
461 0.9992762680933843
Finished at t=544
544 0.9992920844789653
Finished at t=580
580 0.9991074434542523
Finished at t=743
743 0.9986711573139954
Finished at t=606
606 0.9980381103090257"
powerups-4-smarter,2,"Finished at t=365
365 1.0002508774912802
Finished at t=480
480 0.9990072532046798
Finished at t=542
542 0.9990748438844836
Finished at t=571
571 0.999026396983202
Finished at t=705
705 0.9995818752734617
Finished at t=603
603 0.9989282830736529"
powerups-4-smarter,3,"Finished at t=994
994 1.0
Finished at t=476
476 0.9997525590232054
Finished at t=548
548 0.9987379953904392
Finished at t=552
552 0.9984389637981156
Finished at t=707
707 0.9988392185346414
Finished at t=621
621 0.9995657088803392"
powerups-4-smarter,4,"Finished at t=401
401 1.000346073470848
Finished at t=451
451 0.9990716974624432"
powerups-4-smarter,5,"Finished at t=428
428 0.9986886496063672
Finished at t=458
458 0.9986533994276601
Finished at t=541
541 0.9995572519483373
Finished at t=567
567 0.9991128547512571
Finished at t=704
704 0.9988796884492682
Finished at t=594
594 0.9993104813088526"
powerups-4-track-optim,1,"Finished at t=420
420 0.9987433787029238
Finished at t=500
500 0.9981840454470062
Finished at t=546
546 0.998282376147485
Finished at t=593
593 0.9995620538946735
Finished at t=706
706 0.9983379324799558
Finished at t=596
596 0.9992043661738392"
powerups-4-track-optim,2,"Finished at t=396
396 1.0
Finished at t=454
454 0.9985723064918953
Finished at t=545
545 0.9998396856499298
Finished at t=567
567 0.9990356207849148
Finished at t=745
745 0.9992811036406504
Finished at t=599
599 0.9987429720543265"
powerups-4-track-optim,3,"Finished at t=402
402 0.9997907922290181
Finished at t=452
452 0.9993647141952664
Finished at t=603
603 0.9998118503907139
Finished at t=832
832 0.9980262294174708
Finished at t=745
745 0.9992859329860712
Finished at t=600
600 0.9983450632666704"
powerups-4-track-optim,4,"Finished at t=420
420 0.9983546045083888
Finished at t=451
451 0.9989367044316492
Finished at t=543
543 0.9996009930699622
Finished at t=591
591 0.9981688293919516
Finished at t=699
699 0.9982137217157312
Finished at t=601
601 0.9993131456715498"
powerups-4-track-optim,5,"Finished at t=395
395 1.0002486436506044
Finished at t=460
460 0.9984843459764551
Finished at t=623
623 0.9984373536621417
Finished at t=542
542 1.000247997282053
Finished at t=786
786 0.9980339734791667
Finished at t=599
599 0.9992590315464218"
powerups-5-pathing,1,"Finished at t=428
428 1.000225617908254
Finished at t=473
473 0.9994369972055888
Finished at t=539
539 0.9986776158995838
Finished at t=665
665 0.998971976553096
Finished at t=761
761 0.9991488761630272
Finished at t=603
603 0.9985696047298501"
powerups-5-pathing,2,"Finished at t=403
403 0.999623855596978
Finished at t=480
480 0.9981372210401276
Finished at t=555
555 0.9983057117219404
Finished at t=664
664 0.9980226013887971
Finished at t=769
769 0.9992422757034666
Finished at t=600
600 0.9986278532108878"
powerups-5-pathing,3,"Finished at t=402
402 1.000167795801531
Finished at t=463
463 0.9981115543282089
Finished at t=648
648 0.9998573704574767
Finished at t=717
717 0.9989987255780634
Finished at t=769
769 0.9992375429449541
Finished at t=597
597 0.9989552023243533"
powerups-5-pathing,4,"Finished at t=407
407 0.9985601178505606
Finished at t=462
462 1.0002185138987674
Finished at t=539
539 0.9982061954380521
Finished at t=662
662 0.9993586383208991
Finished at t=769
769 0.9992382190533131
Finished at t=598
598 0.999467494958842"
powerups-5-pathing,5,"Finished at t=416
416 1.000213245867588
Finished at t=453
453 0.9981679517249383
Finished at t=548
548 0.9980631473202023
Finished at t=643
643 0.998846655833824
Finished at t=777
777 0.9992319409042659
Finished at t=598
598 0.9995019479247554"
