epoch 0   	 loss = 0.108 	 time = 16.6 sec
epoch 1   	 loss = 0.067 	 time = 14.9 sec
epoch 2   	 loss = 0.057 	 time = 14.8 sec
epoch 3   	 loss = 0.052 	 time = 14.8 sec
epoch 4   	 loss = 0.048 	 time = 15.3 sec
epoch 5   	 loss = 0.046 	 time = 15.4 sec
epoch 6   	 loss = 0.043 	 time = 14.2 sec
epoch 7   	 loss = 0.041 	 time = 15.3 sec
epoch 8   	 loss = 0.040 	 time = 14.9 sec
epoch 9   	 loss = 0.038 	 time = 15.3 sec
epoch 10  	 loss = 0.037 	 time = 14.5 sec
epoch 11  	 loss = 0.035 	 time = 15.1 sec
epoch 12  	 loss = 0.034 	 time = 15.0 sec
epoch 13  	 loss = 0.033 	 time = 15.3 sec
epoch 14  	 loss = 0.032 	 time = 15.4 sec
epoch 15  	 loss = 0.031 	 time = 14.8 sec
epoch 16  	 loss = 0.030 	 time = 15.0 sec
epoch 17  	 loss = 0.030 	 time = 15.2 sec
epoch 18  	 loss = 0.029 	 time = 14.2 sec
epoch 19  	 loss = 0.028 	 time = 15.1 sec
epoch 20  	 loss = 0.028 	 time = 15.3 sec
epoch 21  	 loss = 0.028 	 time = 15.4 sec
epoch 22  	 loss = 0.027 	 time = 15.4 sec
epoch 23  	 loss = 0.027 	 time = 14.7 sec
epoch 24  	 loss = 0.026 	 time = 15.2 sec
epoch 25  	 loss = 0.025 	 time = 15.2 sec
epoch 26  	 loss = 0.025 	 time = 15.1 sec
epoch 27  	 loss = 0.025 	 time = 14.9 sec
epoch 28  	 loss = 0.025 	 time = 15.4 sec
epoch 29  	 loss = 0.024 	 time = 15.2 sec
epoch 30  	 loss = 0.024 	 time = 15.4 sec
epoch 31  	 loss = 0.024 	 time = 14.8 sec
epoch 32  	 loss = 0.023 	 time = 14.4 sec
epoch 33  	 loss = 0.023 	 time = 15.1 sec
epoch 34  	 loss = 0.023 	 time = 14.6 sec
epoch 35  	 loss = 0.022 	 time = 14.3 sec
epoch 36  	 loss = 0.023 	 time = 15.3 sec
epoch 37  	 loss = 0.022 	 time = 15.4 sec
epoch 38  	 loss = 0.022 	 time = 15.3 sec
epoch 39  	 loss = 0.022 	 time = 14.5 sec
epoch 40  	 loss = 0.021 	 time = 14.3 sec
epoch 41  	 loss = 0.021 	 time = 14.9 sec
epoch 42  	 loss = 0.022 	 time = 14.5 sec
epoch 43  	 loss = 0.022 	 time = 13.8 sec
epoch 44  	 loss = 0.021 	 time = 15.4 sec
epoch 45  	 loss = 0.020 	 time = 14.8 sec
epoch 46  	 loss = 0.020 	 time = 15.3 sec
epoch 47  	 loss = 0.019 	 time = 15.0 sec
epoch 48  	 loss = 0.019 	 time = 14.7 sec
epoch 49  	 loss = 0.019 	 time = 15.2 sec
epoch 50  	 loss = 0.019 	 time = 15.0 sec
epoch 51  	 loss = 0.019 	 time = 15.1 sec
epoch 52  	 loss = 0.018 	 time = 15.3 sec
epoch 53  	 loss = 0.019 	 time = 14.3 sec
epoch 54  	 loss = 0.018 	 time = 14.9 sec
epoch 55  	 loss = 0.018 	 time = 14.9 sec
epoch 56  	 loss = 0.018 	 time = 15.2 sec
epoch 57  	 loss = 0.018 	 time = 15.2 sec
epoch 58  	 loss = 0.017 	 time = 15.3 sec
epoch 59  	 loss = 0.018 	 time = 15.0 sec
epoch 60  	 loss = 0.017 	 time = 15.4 sec
epoch 61  	 loss = 0.017 	 time = 15.1 sec
epoch 62  	 loss = 0.017 	 time = 14.6 sec
epoch 63  	 loss = 0.017 	 time = 14.3 sec
epoch 64  	 loss = 0.016 	 time = 15.3 sec
epoch 65  	 loss = 0.016 	 time = 15.3 sec
epoch 66  	 loss = 0.016 	 time = 14.6 sec
epoch 67  	 loss = 0.015 	 time = 15.0 sec
epoch 68  	 loss = 0.015 	 time = 15.2 sec
epoch 69  	 loss = 0.015 	 time = 15.0 sec
epoch 70  	 loss = 0.015 	 time = 15.3 sec
epoch 71  	 loss = 0.015 	 time = 15.2 sec
epoch 72  	 loss = 0.014 	 time = 15.3 sec
epoch 73  	 loss = 0.014 	 time = 15.3 sec
epoch 74  	 loss = 0.015 	 time = 15.2 sec
epoch 75  	 loss = 0.014 	 time = 15.2 sec
epoch 76  	 loss = 0.013 	 time = 14.6 sec
epoch 77  	 loss = 0.013 	 time = 15.3 sec
epoch 78  	 loss = 0.013 	 time = 15.0 sec
epoch 79  	 loss = 0.012 	 time = 15.0 sec
epoch 80  	 loss = 0.012 	 time = 14.8 sec
epoch 81  	 loss = 0.012 	 time = 15.3 sec
epoch 82  	 loss = 0.012 	 time = 15.2 sec
epoch 83  	 loss = 0.012 	 time = 14.8 sec
epoch 84  	 loss = 0.011 	 time = 14.9 sec
epoch 85  	 loss = 0.011 	 time = 14.7 sec
epoch 86  	 loss = 0.011 	 time = 15.4 sec
epoch 87  	 loss = 0.011 	 time = 14.7 sec
epoch 88  	 loss = 0.011 	 time = 14.6 sec
epoch 89  	 loss = 0.010 	 time = 14.8 sec
epoch 90  	 loss = 0.010 	 time = 14.6 sec
epoch 91  	 loss = 0.010 	 time = 15.2 sec
epoch 92  	 loss = 0.010 	 time = 15.1 sec
epoch 93  	 loss = 0.010 	 time = 14.3 sec
epoch 94  	 loss = 0.010 	 time = 14.7 sec
epoch 95  	 loss = 0.010 	 time = 14.7 sec
epoch 96  	 loss = 0.010 	 time = 15.0 sec
epoch 97  	 loss = 0.009 	 time = 14.8 sec
epoch 98  	 loss = 0.009 	 time = 15.0 sec
epoch 99  	 loss = 0.009 	 time = 15.1 sec
epoch 100 	 loss = 0.010 	 time = 14.7 sec
epoch 101 	 loss = 0.009 	 time = 15.3 sec
epoch 102 	 loss = 0.009 	 time = 14.5 sec
epoch 103 	 loss = 0.009 	 time = 15.3 sec
epoch 104 	 loss = 0.008 	 time = 15.0 sec
epoch 105 	 loss = 0.008 	 time = 13.8 sec
epoch 106 	 loss = 0.009 	 time = 15.0 sec
epoch 107 	 loss = 0.008 	 time = 14.7 sec
epoch 108 	 loss = 0.008 	 time = 15.0 sec
epoch 109 	 loss = 0.008 	 time = 15.2 sec
epoch 110 	 loss = 0.009 	 time = 14.3 sec
epoch 111 	 loss = 0.008 	 time = 14.3 sec
epoch 112 	 loss = 0.008 	 time = 15.3 sec
epoch 113 	 loss = 0.008 	 time = 14.4 sec
epoch 114 	 loss = 0.008 	 time = 15.5 sec
epoch 115 	 loss = 0.008 	 time = 14.9 sec
epoch 116 	 loss = 0.007 	 time = 14.8 sec
epoch 117 	 loss = 0.008 	 time = 15.3 sec
epoch 118 	 loss = 0.007 	 time = 15.1 sec
epoch 119 	 loss = 0.007 	 time = 15.1 sec
epoch 120 	 loss = 0.007 	 time = 15.5 sec
epoch 121 	 loss = 0.007 	 time = 15.3 sec
epoch 122 	 loss = 0.007 	 time = 14.6 sec
epoch 123 	 loss = 0.007 	 time = 15.3 sec
